league,season,player_id,player_name,team_title,position,games,time,goals,assists,npg,xG_percentage,xA_percentage,npxG_percentage,shots,missed_shots,key_passes,yellow_cards,red_cards
bundesliga,2015-2016,227,Robert Lewandowski,Bayern Munich,F S,32,2654,30,2,28,48.3520952003048,5.870442752133351,45.77746204756185,152,122,22,2,0
bundesliga,2015-2016,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F M S,31,2476,25,5,22,47.053001715998896,10.953376022929914,41.99362226107118,118,93,28,4,0
bundesliga,2015-2016,224,Thomas Müller,Bayern Munich,F M S,31,2347,20,5,15,45.896309479849535,20.105568278563204,33.998122241587254,94,74,60,4,0
bundesliga,2015-2016,191,Chicharito,Bayer Leverkusen,F S,28,2178,17,2,16,44.06077063894703,14.572717938461524,41.36651142259146,64,47,28,6,0
bundesliga,2015-2016,137,Anthony Modeste,FC Cologne,F S,34,2878,15,3,12,50.416144083299294,7.870566029349857,41.71328988735085,110,95,19,4,0
bundesliga,2015-2016,11,Sandro Wagner,Darmstadt,F S,32,2475,14,4,12,47.59929656520143,14.851289304119364,37.54941413067921,87,73,28,8,1
bundesliga,2015-2016,26,Salomon Kalou,Hertha Berlin,F M S,32,2546,14,2,12,48.31416499015623,10.897036644161751,40.78879836568203,55,41,21,2,0
bundesliga,2015-2016,122,Claudio Pizarro,Werder Bremen,F M S,28,1740,14,3,9,54.14384286039757,13.433870077209608,32.42228706239281,46,32,30,3,0
bundesliga,2015-2016,210,Raffael,Borussia M.Gladbach,F S,31,2692,13,10,12,40.77773450190378,21.278036679786645,37.94422881830957,70,57,57,2,0
bundesliga,2015-2016,300,Daniel Didavi,VfB Stuttgart,F M S,31,2447,13,3,11,45.435622454256865,15.312407383373335,39.2519701623698,95,82,41,8,1
bundesliga,2015-2016,319,Marco Reus,Borussia Dortmund,F M S,26,1930,12,3,11,40.78949179575973,23.719737486184336,35.49077071805592,63,51,45,2,0
bundesliga,2015-2016,340,Klaas-Jan Huntelaar,Schalke 04,F S,31,2485,12,3,10,48.25489271627232,14.656092473962959,37.08901480976471,72,60,26,2,0
bundesliga,2015-2016,356,Alexander Meier,Eintracht Frankfurt,F M,19,1658,12,1,11,46.38539257739481,11.744822355280958,41.86978506732423,49,37,17,0,1
bundesliga,2015-2016,362,Moritz Hartmann,Ingolstadt,F S,30,2015,12,1,4,63.04652833743536,4.728005255938218,32.225466406626424,53,41,20,4,0
bundesliga,2015-2016,45,Yunus Malli,Mainz 05,F M S,34,2802,11,4,10,37.87631888853839,27.10689599943807,35.01678511202354,64,53,43,0,0
bundesliga,2015-2016,119,Anthony Ujah,Werder Bremen,F S,32,2327,11,2,11,46.04691662149633,10.713167049925437,43.23991632857824,68,57,27,2,0
bundesliga,2015-2016,317,Henrikh Mkhitaryan,Borussia Dortmund,F M S,31,2578,11,15,11,29.57142867398584,40.85714265202831,29.57142867398584,81,70,83,5,0
bundesliga,2015-2016,29,Vedad Ibisevic,Hertha Berlin,F S,26,2099,10,4,10,45.12851446276456,9.742971074470884,45.12851446276456,62,52,22,5,1
bundesliga,2015-2016,154,André Schürrle,Wolfsburg,F M S,29,1911,9,3,9,41.21043114119279,17.579137717614408,41.21043114119279,69,60,20,5,0
bundesliga,2015-2016,170,Nicolai Müller,Hamburger SV,M S,29,2178,9,5,9,35.97409852996573,28.051802940068544,35.97409852996573,37,28,28,6,0
bundesliga,2015-2016,261,Julian Brandt,Bayer Leverkusen,F M S,29,1623,9,3,9,35.87426561201697,28.251468775966064,35.87426561201697,30,21,34,0,0
bundesliga,2015-2016,321,Shinji Kagawa,Borussia Dortmund,F M S,29,2178,9,7,9,34.68330296207816,30.63339407584368,34.68330296207816,31,22,41,2,0
bundesliga,2015-2016,324,Adrián Ramos,Borussia Dortmund,F M S,27,926,9,4,9,44.48574734189085,11.028505316218293,44.48574734189085,37,28,12,0,0
bundesliga,2015-2016,83,Kevin Volland,Hoffenheim,F M S,33,2733,8,7,6,40.53499832032183,30.854841820436345,28.61015985924183,64,56,44,8,0
bundesliga,2015-2016,88,Mark Uth,Hoffenheim,F M S,25,1400,8,1,8,44.95353228737623,10.092935425247537,44.95353228737623,35,27,15,2,0
bundesliga,2015-2016,115,Fin Bartels,Werder Bremen,D F M S,30,2073,8,1,8,41.83385437052215,16.332291258955728,41.83385437052215,43,35,25,5,1
bundesliga,2015-2016,158,Bas Dost,Wolfsburg,F S,22,1361,8,2,7,45.204538953776776,13.862520657602476,40.93294038862075,40,32,13,0,0
bundesliga,2015-2016,173,Pierre-Michel Lasogga,Hamburger SV,F S,30,1747,8,2,6,45.94951615708387,17.531848834999153,36.51863500791698,53,45,18,5,0
bundesliga,2015-2016,337,Leroy Sané,Schalke 04,F M S,33,2315,8,6,8,36.60068732289595,26.798625354208106,36.60068732289595,68,60,28,4,0
bundesliga,2015-2016,412,André Hahn,Borussia M.Gladbach,F S,15,738,8,1,7,46.048094410077475,18.673766658660142,35.27813893126239,26,18,7,1,0
