id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
2371,Cristiano Ronaldo,35,3103,48,39.30876067932695,16,13.600642347708344,225,76,5,1,F M,Real Madrid,38,30.38968584593385,43.60801999177784,7.520237253978848,la_liga,2014-2015
2097,Lionel Messi,38,3374,43,35.89176357910037,18,17.61195552162826,187,95,4,0,F S,Barcelona,38,31.432097773998976,54.75360991060734,19.75672373920679,la_liga,2014-2015
2099,Neymar,33,2573,22,22.721617586910725,7,8.261543160304427,95,52,6,0,F S,Barcelona,21,21.978339917957783,36.88822028413415,11.678407426923512,la_liga,2014-2015
2270,Antoine Griezmann,37,2490,22,14.709661848843098,1,2.60772124864161,78,23,6,0,F M S,Atletico Madrid,22,14.709661848843098,18.479452416300774,4.551564212888479,la_liga,2014-2015
1125,Carlos Bacca,37,2581,20,19.279243662953377,6,4.728216256946325,69,31,4,0,F S,Sevilla,14,13.33366459980607,16.086337637156248,2.6682413946837187,la_liga,2014-2015
2410,Aduriz,31,2586,18,16.696459168568254,4,4.446755584329367,88,17,12,0,F S,Athletic Club,13,12.980456495657563,15.038968643173575,0.9233695920556784,la_liga,2014-2015
4119,Alberto Bueno,36,2897,17,14.516707895323634,4,2.5170659190043807,94,27,4,0,F M S,Rayo Vallecano,15,12.286874977871776,17.15403475612402,4.204858967103064,la_liga,2014-2015
2098,Luis Suárez,27,2182,16,14.542309518903494,14,13.520657511428,75,60,4,0,F S,Barcelona,16,14.542309518903494,28.306159861385822,6.215007800608873,la_liga,2014-2015
2370,Karim Benzema,29,2325,15,12.4124203491956,10,7.889431586489081,69,45,1,0,F,Real Madrid,15,12.4124203491956,27.08896923810244,11.037378508597612,la_liga,2014-2015
2480,Jonathas,34,3024,14,10.753830988891425,7,3.386504986323416,87,30,10,1,F,Elche,14,10.010553394444289,14.282634064555168,3.571957047097385,la_liga,2014-2015
4060,Sergio García,35,3030,14,10.270763546228409,9,8.13070900645107,80,52,9,0,F M S,Espanyol,12,8.78433620929718,17.210238602012396,4.557592552155256,la_liga,2014-2015
1732,Nolito,36,2970,13,11.040581030771136,13,14.726908553391697,105,96,11,0,F M S,Celta Vigo,10,8.067470533773303,26.532407108694315,9.863800924271343,la_liga,2014-2015
2249,James Rodríguez,29,2299,13,5.519276060163975,13,9.412156268954275,53,77,5,0,F M,Real Madrid,13,5.519276060163975,23.72457579523325,14.519149109721184,la_liga,2014-2015
2251,Gareth Bale,31,2585,13,14.101817549206316,9,8.747159417718649,103,51,2,0,F M S,Real Madrid,12,13.35853995475918,25.971962149254978,9.50409868825227,la_liga,2014-2015
1295,Mario Mandzukic,28,1948,12,11.908579781651497,5,3.6252312883734703,55,23,10,0,F S,Atletico Madrid,9,9.678746953606606,9.323286011815073,1.63711597956717,la_liga,2014-2015
1709,Cristhian Stuani,37,1739,12,10.00884541682899,0,0.8513315645977855,45,8,4,1,F M S,Espanyol,10,8.522290183231235,8.995401318185031,0.6806012662127614,la_liga,2014-2015
2274,Luciano Vietto,32,1886,12,11.41036382317543,2,2.559807416051626,78,23,5,0,F S,Villarreal,12,11.41036382317543,16.552209248766303,4.973202749621123,la_liga,2014-2015
2087,David Barral,35,2656,11,10.15879613161087,0,0.4105842914432287,74,14,11,0,F M S,Levante,9,8.672240883111954,10.45480265468359,2.345433520618826,la_liga,2014-2015
2378,Daniel Parejo,34,2932,11,8.296009011566639,5,2.8324859105050564,54,42,13,1,M S,Valencia,8,4.579620912671089,12.694626609794796,9.21630998235196,la_liga,2014-2015
2380,Paco Alcácer,32,2179,11,10.355730831623076,5,3.74862046726048,61,23,2,1,F S,Valencia,11,10.355730831623076,13.777862340211868,1.3671214543282986,la_liga,2014-2015
4038,Joaquín Larrivey,35,2208,11,12.8578592389822,2,1.0615880731493237,63,15,5,0,F S,Celta Vigo,11,12.8578592389822,14.9958503767848,2.903864324092865,la_liga,2014-2015
2116,Felipe Caicedo,34,1889,9,6.490870468318462,2,1.0703787337988615,33,20,2,0,F S,Espanyol,9,6.490870468318462,6.0636967699974775,2.24653179012239,la_liga,2014-2015
2416,Carlos Vela,29,2057,9,4.972799141891301,3,3.063654640689492,61,21,5,0,F M S,Real Sociedad,8,4.229521502740681,7.241392310708761,2.226811783388257,la_liga,2014-2015
2591,Mikel Arruabarrena,34,2560,9,6.201075974851847,3,1.911743088625372,36,29,10,0,F M S,Eibar,7,4.714520696550608,6.11403395049274,1.3222415586933494,la_liga,2014-2015
897,Juanmi,34,2248,8,7.488385772332549,0,2.241187108680606,37,22,4,0,F M S,Malaga,8,7.488385772332549,9.958865489810703,1.322749050334096,la_liga,2014-2015
2082,Youssef El-Arabi,28,1993,8,8.05968551337719,2,2.6620345432311296,50,21,4,1,F S,Granada,4,5.086574969813228,6.5072306878864765,1.0375639032572508,la_liga,2014-2015
2184,Casadesús,35,2423,8,5.683627625927329,2,2.951856972649693,49,34,6,0,F M S,Levante,8,5.683627625927329,7.544144846498966,1.5407585697248578,la_liga,2014-2015
2442,Kevin Gameiro,26,919,8,9.376235954463482,2,2.8430584482848644,32,19,0,0,F S,Sevilla,6,7.889808569103479,11.271547306329012,0.9248364493250848,la_liga,2014-2015
4046,Tomer Hemed,35,2334,8,9.93435465823859,4,2.385830304585397,70,12,3,1,F S,Almeria,6,8.447799439541996,8.971745319664478,2.0733518470078707,la_liga,2014-2015
191,Chicharito,23,849,7,4.650474080815911,4,3.971098653972149,30,11,2,0,F S,Real Madrid,7,4.650474080815911,8.768477434292436,2.5510272160172462,la_liga,2014-2015
2065,Vicente Iborra,26,2029,7,6.881369683891535,1,1.7642175033688543,39,20,7,0,M S,Sevilla,7,6.881369683891535,12.00460636243224,5.441503204405308,la_liga,2014-2015
2120,Gerard Moreno,26,1617,7,6.0694469176232815,3,2.107521545141936,41,22,2,0,F S,Villarreal,7,6.0694469176232815,8.314291715621948,2.1978580481372774,la_liga,2014-2015
2200,Álvaro Vázquez,21,1749,7,6.728363654110581,0,1.0610023345798254,35,15,2,0,F M S,Getafe,6,5.985086014959961,7.486761773470789,1.5534783648326993,la_liga,2014-2015
2304,Leo Baptistao,25,1806,7,6.173110889270902,1,2.755031663924456,45,17,3,0,F S,Rayo Vallecano,7,6.173110889270902,9.191352415829895,0.5367700196802616,la_liga,2014-2015
2382,Pablo Piatti,28,1920,7,4.295260164886713,6,6.909362135455012,30,53,2,0,F M S,Valencia,7,4.295260164886713,11.326302962377667,4.529571427498013,la_liga,2014-2015
2384,Santi Mina,20,1171,7,7.878265433013439,1,0.853591563180089,34,9,6,0,F M S,Celta Vigo,6,7.1349878013134,8.895246230065823,1.954908788204193,la_liga,2014-2015
2535,Imanol Agirretxe,31,1948,7,7.444440003484487,1,0.4598667565733194,74,14,2,0,F S,Real Sociedad,7,7.444440003484487,7.918224822729826,1.181643352843821,la_liga,2014-2015
2542,Nabil Ghilas,27,2099,7,5.419193124398589,0,1.346470926888287,44,22,1,0,F M S,Cordoba,5,3.932637879624963,6.187743182294071,1.7474747616797686,la_liga,2014-2015
575,Nordin Amrabat,31,2037,6,7.050287848338485,4,4.171492191031575,47,34,7,0,F M S,Malaga,3,4.07717733643949,11.494935758411884,3.5857795383781195,la_liga,2014-2015
611,Nicolás Otamendi,35,3102,6,3.111487119458616,0,0.0812188517302274,20,3,9,1,D,Valencia,6,3.111487119458616,4.894687345251441,4.794737694784999,la_liga,2014-2015
687,Pedro,35,1523,6,7.806149773299694,6,6.433851417154074,38,25,3,0,F S,Barcelona,6,7.806149773299694,20.684930950403214,8.467205092310905,la_liga,2014-2015
1674,Sofiane Feghouli,33,1933,6,4.930527637246996,6,4.677290324121714,34,27,5,0,F M S,Valencia,6,4.930527637246996,11.596512746531516,4.847493862733245,la_liga,2014-2015
1700,Lucas Pérez,21,1560,6,6.267493858933449,3,2.163807524368167,49,24,6,0,F M S,Deportivo La Coruna,5,4.78093858063221,7.974009044468403,2.507266778498888,la_liga,2014-2015
2349,Ikechukwu Uche,23,1387,6,8.84851611405611,1,1.874442107975483,42,21,2,0,F S,Villarreal,5,8.10523847490549,11.25338232703507,2.924546530470252,la_liga,2014-2015
2511,Vitolo,28,2091,6,5.2075669057667255,3,2.6266999635845423,31,16,6,0,F M S,Sevilla,6,5.2075669057667255,11.074706088751554,4.502245377749205,la_liga,2014-2015
4133,Federico Piovaccari,28,1590,6,5.548962526023388,0,0.2167452648282051,30,5,6,2,F M S,Eibar,6,5.548962526023388,4.1646330170333385,0.2779846712946892,la_liga,2014-2015
1715,Álvaro Negredo,30,1524,5,7.124825491569936,4,4.415883142501116,54,22,4,0,F S,Valencia,4,6.381547852419317,11.037324473261831,1.8385933637619016,la_liga,2014-2015
2085,Lombán,34,2986,5,3.346559440717101,0,0.099745137616992,19,3,10,0,D S,Elche,2,1.1168545093387363,3.7685733381658792,3.7170973289757967,la_liga,2014-2015
2089,Robert Ibáñez,21,1104,5,3.2557168193161488,1,1.7829102035611868,23,12,0,0,M S,"Granada,Valencia",5,3.2557168193161488,4.441450429148972,0.7322493456304073,la_liga,2014-2015
2092,Gerard Piqué,27,2383,5,3.753405377268791,1,0.8372067734599113,20,4,6,0,D S,Barcelona,5,3.753405377268791,14.040410071611404,12.008071932941675,la_liga,2014-2015
2094,Ivan Rakitic,32,2042,5,3.106179348193109,7,4.024792701005936,34,35,1,0,M S,Barcelona,5,3.106179348193109,21.61297616362572,16.874897815287113,la_liga,2014-2015
2167,Javi Guerra,13,681,5,4.9141760393977165,0,1.0542623372748494,28,8,0,0,F S,Malaga,5,4.9141760393977165,6.17455568164587,1.0851488783955574,la_liga,2014-2015
2171,Manucho,37,1596,5,6.828239690512419,1,1.7725390261039138,61,15,5,0,F S,Rayo Vallecano,5,6.828239690512419,8.958506487309933,1.1964344158768654,la_liga,2014-2015
2273,Tiago,31,2594,5,3.3833804791793227,4,3.5372590143233538,23,18,5,0,M,Atletico Madrid,5,3.3833804791793227,7.194107793271542,5.319049574434757,la_liga,2014-2015
2285,Fabián Orellana,35,2970,5,8.850883226841688,6,9.115630391985178,70,75,13,1,F M S,Celta Vigo,5,8.107605557888746,18.019146129488945,6.493403548374772,la_liga,2014-2015
2300,Samu García,32,2250,5,3.188269549049437,1,3.5275340247899294,36,34,7,1,F M S,Malaga,5,3.188269549049437,8.385137032717466,3.4426701609045267,la_liga,2014-2015
2395,San José,28,2138,5,2.596430051140487,1,1.0590609274804592,21,11,9,1,D M S,Athletic Club,5,2.596430051140487,4.865764641202986,4.252250132150948,la_liga,2014-2015
2400,Raúl García,31,1682,5,5.876009853556752,3,3.462940279394388,52,12,8,0,F M S,Atletico Madrid,3,4.389454625081271,6.6932008704170585,1.7525928933173418,la_liga,2014-2015
2549,Gaël Kakuta,35,3067,5,6.406725209206343,7,7.14319078065455,69,63,1,0,D M,Rayo Vallecano,5,6.406725209206343,15.11903803795576,4.993627712130547,la_liga,2014-2015
4068,Florin Andone,20,1533,5,5.901717655360699,0,0.4488541856408119,38,10,5,0,F S,Cordoba,5,5.901717655360699,5.813674133270979,1.9573557786643505,la_liga,2014-2015
4074,Kalu Uche,16,872,5,5.053276963531971,2,1.776954870671034,25,11,1,0,F S,Levante,5,5.053276963531971,6.719040734693408,0.4314939361065626,la_liga,2014-2015
48,Jhon Córdoba,26,1407,4,4.847541844472289,0,0.3745182007551193,30,10,7,0,F S,Granada,4,4.847541844472289,6.083508940413594,1.0064185289666057,la_liga,2014-2015
1699,Shkodran Mustafi,33,2917,4,1.624908498022705,0,0.1536017842590809,19,3,8,0,D,Valencia,4,1.624908498022705,6.815674910321832,6.733758369460702,la_liga,2014-2015
2088,Edgar Méndez,30,1916,4,2.198888967745006,1,0.6625678706914186,43,12,6,0,F M S,Almeria,4,2.198888967745006,4.660543454810977,2.274727161973715,la_liga,2014-2015
2103,Aleix Vidal,31,2155,4,3.7543350644409657,5,5.13682952709496,19,30,8,0,D F M S,Sevilla,4,3.7543350644409657,12.996638219803572,6.036664133891463,la_liga,2014-2015
2180,Verza,33,2853,4,3.4044522140175104,3,3.139604225754738,19,45,10,0,M,Almeria,1,0.4313417449593544,5.396568767726421,4.885456781834364,la_liga,2014-2015
2198,Moi Gómez,31,1614,4,3.4881420666351914,4,4.509411182254553,28,29,6,0,M S,Villarreal,4,3.4881420666351914,8.773738621734083,2.839268708601594,la_liga,2014-2015
2201,Yoda,18,1034,4,1.9979464327916503,1,0.6231796443462372,27,13,0,0,M S,Getafe,4,1.9979464327916503,3.0886042127385736,0.5873702075332403,la_liga,2014-2015
2233,Xabi Prieto,35,2988,4,3.2240214105695486,6,4.763321085833013,32,49,5,0,M S,Real Sociedad,2,1.7374661844223738,9.610716520808635,6.441056678071618,la_liga,2014-2015
2246,Sergio Ramos,27,2257,4,3.986794551834464,1,0.5360918752849102,28,8,12,0,D M,Real Madrid,4,3.986794551834464,11.651941841468217,10.2930339705199,la_liga,2014-2015
