id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,league
219798.0,1.0,BlockedShot,0.9030000305175782,0.5670000076293945,0.0751453340053558,Robert Lewandowski,h,227.0,SetPiece,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Joshua Kimmich,Cross,bundesliga
219799.0,9.0,BlockedShot,0.8319999694824218,0.7069999694824218,0.0262093860656023,David Alaba,h,391.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Franck Ribéry,Pass,bundesliga
219800.0,10.0,BlockedShot,0.9030000305175782,0.55,0.0943544134497642,Jérôme Boateng,h,220.0,FromCorner,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,,,bundesliga
219801.0,22.0,Goal,0.9669999694824218,0.5320000076293945,0.4878630042076111,Thomas Müller,h,224.0,FromCorner,2018-2019,Head,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Joshua Kimmich,Aerial,bundesliga
219803.0,30.0,BlockedShot,0.7719999694824219,0.4309999847412109,0.0338434465229511,Thiago Alcántara,h,229.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Franck Ribéry,Pass,bundesliga
219804.0,31.0,BlockedShot,0.8119999694824219,0.4759999847412109,0.0669585838913917,Robert Lewandowski,h,227.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,,,bundesliga
219806.0,36.0,SavedShot,0.885,0.3670000076293945,0.3237739205360412,Kingsley Coman,h,226.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Thomas Müller,TakeOn,bundesliga
219808.0,53.0,MissedShots,0.8190000152587891,0.4329999923706055,0.0624594166874885,Arjen Robben,h,392.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Javi Martínez,Pass,bundesliga
219814.0,81.0,Goal,0.885,0.5,0.757696270942688,Robert Lewandowski,h,227.0,Penalty,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,,Standard,bundesliga
219815.0,86.0,MissedShots,0.745999984741211,0.3259999847412109,0.0192278437316417,Leon Goretzka,h,335.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Thomas Müller,BallRecovery,bundesliga
219816.0,88.0,MissedShots,0.87,0.590999984741211,0.1069758832454681,Arjen Robben,h,392.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Robert Lewandowski,Pass,bundesliga
219817.0,89.0,SavedShot,0.8959999847412109,0.4429999923706054,0.4201668798923492,James Rodríguez,h,2249.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Robert Lewandowski,Pass,bundesliga
219818.0,89.0,BlockedShot,0.745,0.54,0.02824018150568,Thiago Alcántara,h,229.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,,,bundesliga
219819.0,89.0,Goal,0.9130000305175782,0.4370000076293945,0.471535176038742,Arjen Robben,h,392.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Thomas Müller,Pass,bundesliga
219820.0,92.0,MissedShots,0.8040000152587891,0.4370000076293945,0.0638791695237159,Robert Lewandowski,h,227.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Joshua Kimmich,Pass,bundesliga
219821.0,95.0,MissedShots,0.909000015258789,0.479000015258789,0.050505943596363,Robert Lewandowski,h,227.0,OpenPlay,2018-2019,Head,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,James Rodríguez,Pass,bundesliga
219802.0,23.0,BlockedShot,0.7869999694824219,0.5659999847412109,0.0356205850839614,Florian Grillitsch,a,116.0,OpenPlay,2018-2019,LeftFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Ádám Szalai,Pass,bundesliga
219805.0,33.0,MissedShots,0.9080000305175782,0.475,0.4420830309391022,Joelinton,a,87.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Nico Schulz,Pass,bundesliga
219807.0,46.0,SavedShot,0.730999984741211,0.545,0.0151332020759582,Florian Grillitsch,a,116.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,,,bundesliga
219809.0,56.0,Goal,0.88,0.285,0.0515653192996978,Ádám Szalai,a,360.0,OpenPlay,2018-2019,RightFoot,10337.0,Bayern Munich,Hoffenheim,3.0,1.0,2018-08-24 21:30:00,Ermin Bicakcic,TakeOn,bundesliga
