id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,league
232811.0,1.0,BlockedShot,0.8630000305175781,0.710999984741211,0.0399621129035949,Alexis Sánchez,h,498.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Luke Shaw,Pass,epl
232812.0,2.0,Goal,0.885,0.5,0.7611688375473022,Paul Pogba,h,1740.0,Penalty,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,,Standard,epl
232818.0,39.0,SavedShot,0.7240000152587891,0.655,0.0183957684785127,Paul Pogba,h,1740.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Alexis Sánchez,Pass,epl
232819.0,40.0,SavedShot,0.88,0.6530000305175782,0.0812149420380592,Luke Shaw,h,1006.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Juan Mata,Chipped,epl
232821.0,55.0,SavedShot,0.7809999847412109,0.33,0.0283088255673646,Matteo Darmian,h,557.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Alexis Sánchez,Pass,epl
232822.0,64.0,MissedShots,0.8130000305175781,0.4759999847412109,0.076125718653202,Juan Mata,h,554.0,OpenPlay,2018.0,LeftFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Alexis Sánchez,Pass,epl
232825.0,77.0,SavedShot,0.8880000305175781,0.45,0.4201292991638183,Romelu Lukaku,h,594.0,OpenPlay,2018.0,LeftFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Alexis Sánchez,Pass,epl
232826.0,82.0,Goal,0.95,0.6469999694824219,0.0883932188153266,Luke Shaw,h,1006.0,OpenPlay,2018.0,LeftFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Juan Mata,Chipped,epl
232813.0,14.0,SavedShot,0.755,0.5320000076293945,0.0224164389073848,Wilfred Ndidi,a,5545.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,,,epl
232814.0,24.0,BlockedShot,0.7809999847412109,0.3529999923706055,0.0241504739969968,Wilfred Ndidi,a,5545.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,James Maddison,Pass,epl
232815.0,28.0,SavedShot,0.8880000305175781,0.4,0.0885408967733383,James Maddison,a,6818.0,OpenPlay,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,Ricardo Pereira,Pass,epl
232816.0,28.0,BlockedShot,0.715,0.4909999847412109,0.0137824034318327,Ricardo Pereira,a,3303.0,FromCorner,2018.0,RightFoot,9197.0,Manchester United,Leicester,2.0,1.0,2018-08-10 22:00:00,,,epl
