id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
1741,Zlatan Ibrahimovic,31,2553,38,28.36629748344421,13,9.098249971866608,155,46,1,0,F S,Paris Saint Germain,33,23.80572670698166,36.00924212485552,11.613947290927172,ligue_1,2015-2016
3277,Alexandre Lacazette,34,2969,21,21.035174636170268,3,4.387999815866351,95,44,5,0,F,Lyon,19,18.754889203235507,25.341834964230657,8.528739953413606,ligue_1,2015-2016
3294,Edinson Cavani,32,2302,19,19.376584745943543,5,3.127685271203518,86,24,3,0,F S,Paris Saint Germain,19,18.616489626467228,25.40062485262752,8.246316513046622,ligue_1,2015-2016
1678,Michy Batshuayi,36,2941,17,18.57571182027459,9,3.359591932967305,122,27,8,0,F S,Marseille,15,17.05552152171731,21.57855186611414,4.369809076189995,ligue_1,2015-2016
3210,Wissam Ben Yedder,35,2907,17,17.165929654613137,5,3.832809407263994,93,31,2,0,F M S,Toulouse,15,13.36545398272574,17.15355163998902,3.20486026071012,ligue_1,2015-2016
3638,Hatem Ben Arfa,34,2855,17,10.822961412370203,6,4.824300738051534,92,33,2,0,F M S,Nice,12,7.022485680878162,15.124900436028838,7.116719892248511,ligue_1,2015-2016
3309,Valère Germain,38,3139,14,11.036331839859486,6,4.285875638015568,62,45,3,0,F M S,Nice,14,11.036331839859486,18.637277834117413,6.413180127739906,ligue_1,2015-2016
3570,Benjamin Moukandjo,31,2235,13,11.171723827719688,1,1.629063094034791,57,20,3,0,F M S,Lorient,8,7.371248254552484,8.596285786479712,1.7494653761386871,ligue_1,2015-2016
3226,Ousmane Dembélé,26,1939,12,6.8537065628916025,5,3.824223107658327,56,43,1,0,F M S,Rennes,11,6.093611443415284,9.74254546687007,1.6356056965887549,ligue_1,2015-2016
3530,Andy Delort,36,3142,12,15.975437186658382,2,4.096874952316284,141,38,5,0,F S,Caen,8,12.17496150918305,15.717821599915624,2.841091565787792,ligue_1,2015-2016
1734,Sofiane Boufal,29,2351,11,4.825140481814742,4,8.330865481868386,50,72,10,2,F M S,Lille,9,3.304950198158622,11.388839054852724,4.476608812808991,ligue_1,2015-2016
3211,Martin Braithwaite,36,2942,11,15.924121912568808,0,3.10829309374094,108,25,1,0,F M S,Toulouse,9,13.643836494535208,17.417292587459087,2.988259853795171,ligue_1,2015-2016
3461,Majeed Waris,21,1659,11,9.397260405123234,3,1.9309384021908045,55,20,1,1,F S,Lorient,9,7.877070136368275,11.071755014359953,2.965995445847512,ligue_1,2015-2016
3526,Ronny Rodelin,35,2882,10,6.460515134967864,2,3.832927957642824,77,39,1,0,F M S,"Caen,Lille",10,6.460515134967864,11.35525355907157,4.095499900169671,ligue_1,2015-2016
3553,Ángel Di María,29,2138,10,6.791525568813086,18,17.34940899349749,69,99,0,0,F M S,Paris Saint Germain,10,6.791525568813086,26.59444712102413,13.537809737026691,ligue_1,2015-2016
3577,Cheick Diabaté,22,1450,10,6.9681122452020645,4,2.5986149087548256,38,14,0,1,F S,Bordeaux,9,6.208017125725746,7.348016878589988,1.6915544718503952,ligue_1,2015-2016
3231,Kamil Grosicki,33,1519,9,4.760304471477866,3,3.1311259418725967,50,25,2,0,F M S,Rennes,9,4.760304471477866,7.374182481318712,2.093872433528304,ligue_1,2015-2016
3293,Lucas Moura,36,2337,9,9.757510827854276,4,5.323725610971451,63,57,3,0,F M S,Paris Saint Germain,8,8.997415648773313,20.69545454904437,10.380229679867623,ligue_1,2015-2016
3492,Cheikh Ndoye,32,2773,9,6.793854853138328,4,2.4392040874809027,68,24,5,2,M,Angers,9,6.793854853138328,7.143089152872562,2.553423230536282,ligue_1,2015-2016
3512,Nolan Roux,29,1969,9,9.92551912739873,2,2.768848011270165,57,22,4,0,F M S,Saint-Etienne,8,9.165423966944218,12.675672676414251,3.040897823870182,ligue_1,2015-2016
3276,Rachid Ghezzal,29,1579,8,4.822955908253789,8,7.292295712977648,53,46,5,0,F M S,Lyon,8,4.822955908253789,13.394867099821568,7.935463415458798,ligue_1,2015-2016
3278,Maxwel Cornet,31,1497,8,4.5265160985291,1,2.02304195612669,30,23,3,1,F M S,Lyon,8,4.5265160985291,8.933843758888543,2.6859244322404265,ligue_1,2015-2016
3328,Floyd Ayité,32,2633,8,6.9913864973932505,3,1.8304997170343995,73,33,2,1,F M S,SC Bastia,7,6.231291288509965,9.200562370941045,3.131256902590394,ligue_1,2015-2016
3377,Mohamed Larbi,30,2297,8,4.334682217799127,3,3.4938608184456825,43,44,0,0,F M S,GFC Ajaccio,7,2.8144919415935874,9.36710231937468,6.083400666713715,ligue_1,2015-2016
3228,Giovanni Sio,34,2605,7,9.505128851160409,7,4.542503329925239,70,29,8,2,F M S,Rennes,7,8.745033709332347,13.54869387485087,2.0085933236405253,ligue_1,2015-2016
3261,Diego Rolan,31,2108,7,8.906423384323716,4,2.912907902151346,49,31,4,0,F M S,Bordeaux,7,8.906423384323716,9.09173633903265,2.1243036836385727,ligue_1,2015-2016
3344,Casimir Ninga,26,1986,7,5.326108425855637,4,2.219421437010169,44,16,6,0,F M S,Montpellier,7,5.326108425855637,8.317855451256037,1.816645999439061,ligue_1,2015-2016
3460,Benjamin Jeannot,29,1774,7,7.218096304684877,1,1.1883473824709654,63,18,4,0,F S,Lorient,7,7.218096304684877,10.115761809051037,2.1048112297430634,ligue_1,2015-2016
3473,Yannis Salibur,30,2355,7,4.456537503749132,6,3.0121759325265884,78,28,3,1,F M S,Guingamp,7,4.456537503749132,8.112978238612413,2.926151964813471,ligue_1,2015-2016
3477,Jimmy Briand,35,2940,7,8.58193447533995,7,5.885894365608692,65,42,2,0,F S,Guingamp,7,7.82183934841305,15.85089733172208,4.898585366085172,ligue_1,2015-2016
3478,Sloan Privat,27,1245,7,6.528251874260604,1,1.518238453194499,38,14,3,0,F S,Guingamp,7,5.768156695179641,6.096274744719267,1.1019712015986445,ligue_1,2015-2016
3590,Souleymane Camara,33,1998,7,8.374945366755128,6,3.2878377763554454,46,21,1,0,F M S,Montpellier,7,8.374945366755128,12.013150013051929,2.924366711638868,ligue_1,2015-2016
3635,Bernardo Silva,32,2246,7,6.509096814319491,1,3.863640176132322,41,43,7,0,F M S,Monaco,7,6.509096814319491,14.74791970476508,7.734866926446557,ligue_1,2015-2016
963,Eder,13,1076,6,5.6649553142488,4,2.8072687070816755,31,9,1,0,F S,Lille,5,4.904860135167837,6.5696814972907305,1.417775997892022,ligue_1,2015-2016
3244,Nicolas de Preville,36,2926,6,9.04980087839067,9,9.737111527472734,90,77,4,0,F M S,Reims,6,9.04980087839067,16.05443622265011,3.1965209059417248,ligue_1,2015-2016
3310,Alassane Pléa,19,1421,6,5.256514649838209,4,2.479623671621084,46,12,1,0,F M S,Nice,6,5.256514649838209,8.99673056602478,2.790100682526827,ligue_1,2015-2016
3380,Khalid Boutaib,31,1929,6,4.835838861763477,1,1.5496625835075974,56,29,3,0,F M S,GFC Ajaccio,6,4.835838861763477,7.07930788770318,2.014917656779289,ligue_1,2015-2016
3406,Emiliano Sala,31,1956,6,5.989508803933859,3,3.138543516397476,61,30,3,0,F M S,Nantes,6,5.989508803933859,9.698859740048649,3.1343248169869184,ligue_1,2015-2016
3420,Fabinho,34,3060,6,5.418282187543809,4,3.177019676193595,29,25,9,0,D M,Monaco,0,0.8577114157378674,8.815977892838418,6.300279357470572,ligue_1,2015-2016
3474,Younousse Sankhare,33,2924,6,3.4019250329583883,2,2.115498913452029,28,18,9,2,M,Guingamp,6,3.4019250329583883,10.241441776044669,6.014473807066679,ligue_1,2015-2016
3515,Valentin Eysseric,30,1742,6,3.755489730276168,4,3.6382673857733607,37,43,6,0,F M S,"Nice,Saint-Etienne",4,2.235299468971789,6.460738276131451,3.175143238157034,ligue_1,2015-2016
734,Wahbi Khazri,20,1609,5,5.326765742152929,7,4.849464658647776,40,54,7,0,F M,Bordeaux,5,4.566670563071966,7.437930000945926,1.6941334828734398,ligue_1,2015-2016
1729,Georges-Kévin Nkoudou,28,2074,5,3.4798297472298145,3,2.835639273747802,46,25,0,0,F M S,Marseille,5,3.4798297472298145,7.797267250716686,2.439274325966835,ligue_1,2015-2016
2502,Claudio Beauvue,19,1287,5,6.962971914559603,2,1.768293951638043,64,15,0,0,F S,Lyon,4,6.202876795083284,6.966166350990534,0.9678891692310572,ligue_1,2015-2016
3237,Aissa Mandi,32,2862,5,4.269352248869836,1,0.6496742386370897,20,4,3,1,D,Reims,5,4.269352248869836,6.277340805158019,5.379710553213954,ligue_1,2015-2016
3259,Adam Ounas,23,1314,5,4.042441887781024,2,2.129913814365864,46,22,4,0,F M S,Bordeaux,5,4.042441887781024,7.151014257222414,3.123540442436933,ligue_1,2015-2016
3329,Gaël Danic,37,2712,5,4.390661819837987,4,5.156016900204122,42,54,7,0,F M S,SC Bastia,4,3.630566658452153,8.382321195676923,2.834900911897421,ligue_1,2015-2016
3340,Bryan Dabo,36,2853,5,3.7513152854517102,1,1.80029434338212,35,22,7,0,D M S,Montpellier,5,3.7513152854517102,8.629863140173256,6.302643799223006,ligue_1,2015-2016
3366,Yassine Benzia,25,1349,5,3.789757072925568,0,0.8036881051957607,37,16,4,0,F M S,Lille,5,3.789757072925568,5.446553975343704,1.2535936646163464,ligue_1,2015-2016
