id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
2371,Cristiano Ronaldo,33,2807,29,29.83808070421219,3,3.8546393513679504,167,36,3,0,F S,Juventus,23,23.74781009554863,28.63540640473365,8.915717896074057,2020-2021,serie_a
594,Romelu Lukaku,36,2885,24,23.42576841637492,11,8.387601729482412,97,53,4,0,F S,Inter,18,18.85797556117177,30.672951973974705,5.996653926558793,2020-2021,serie_a
1229,Luis Muriel,36,1434,22,16.692217707633972,8,4.887805111706257,86,46,0,0,F M S,Atalanta,20,14.408361122012138,23.75210366584361,6.23875948600471,2020-2021,serie_a
7084,Dusan Vlahovic,37,2945,21,18.476589761674404,3,2.2961635794490576,86,18,1,0,F S,Fiorentina,15,13.908836690708997,14.827191784977911,1.562626488506794,2020-2021,serie_a
1209,Ciro Immobile,35,2887,20,19.77111575938761,6,7.202586128376424,119,54,3,1,F S,Lazio,16,13.680725181475282,24.11689661443233,4.969869520515204,2020-2021,serie_a
1362,Simy,38,2935,20,17.4738744571805,2,1.5258306805044413,64,27,1,0,F S,Crotone,12,11.383563682436945,13.73048839252442,2.165550102479756,2020-2021,serie_a
1393,Lorenzo Insigne,35,2888,19,17.34749484434724,7,9.122002026066184,144,63,2,1,F M S,Napoli,12,11.257104076445104,27.064160227775574,12.54643751308322,2020-2021,serie_a
1612,Domenico Berardi,30,2494,17,14.489944625645876,7,6.099212377332151,113,58,4,0,D F M S,Sassuolo,10,8.39975709747523,19.319889217615128,7.612011410295963,2020-2021,serie_a
7006,Lautaro Martínez,38,2598,17,16.88719903305173,6,6.310354245826602,109,38,5,0,F M S,Inter,15,15.364601392298937,23.094210781157017,3.861114533618093,2020-2021,serie_a
1592,João Pedro,37,3273,16,13.289647806435823,3,5.29610295407474,75,38,4,0,F M,Cagliari,12,9.483153756707908,17.200939755886793,6.281496647745371,2020-2021,serie_a
1148,Duván Zapata,37,2407,15,18.038630217313766,9,6.084069307893515,98,42,0,0,F M S,Atalanta,14,17.27733138203621,27.76100275851786,7.628689213655889,2020-2021,serie_a
1741,Zlatan Ibrahimovic,19,1503,15,16.254978181794286,2,1.4163752552121878,80,19,2,1,F S,AC Milan,12,11.687306942418218,11.791891984641552,3.0064280293881893,2020-2021,serie_a
317,Henrikh Mkhitaryan,34,2752,13,12.416660388931632,10,8.947878846898675,82,48,2,0,F M S,Roma,12,11.655361553654076,28.58623880520463,10.100943650119008,2020-2021,serie_a
1186,Andrea Belotti,35,2915,13,13.569574140012264,6,7.06598836183548,106,38,4,0,F S,Torino,9,9.763119898736475,16.292992435395718,1.8111425824463367,2020-2021,serie_a
1230,Fabio Quagliarella,33,2216,13,11.09374750033021,1,1.4081906517967582,83,19,1,0,F S,Sampdoria,11,8.80997083708644,10.010083113797007,1.165265440940857,2020-2021,serie_a
1489,Franck Kessié,37,3231,13,13.495036673732102,4,3.908409910276532,49,32,8,0,M S,AC Milan,2,3.598272153176368,16.192339226603508,11.070898316800594,2020-2021,serie_a
