id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,league
144481.0,9.0,SavedShot,0.6909999847412109,0.2889999961853027,0.0111739635467529,Bruno Peres,h,1567.0,OpenPlay,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Kevin Strootman,Pass,serie_a
144483.0,14.0,MissedShots,0.9619999694824218,0.4820000076293945,0.6870623230934143,Edin Dzeko,h,1253.0,OpenPlay,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Mohamed Salah,Pass,serie_a
144485.0,20.0,MissedShots,0.8019999694824219,0.2129999923706054,0.0183910708874464,Bruno Peres,h,1567.0,OpenPlay,2016-2017,LeftFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Kostas Manolas,Pass,serie_a
144487.0,26.0,BlockedShot,0.7730000305175782,0.685,0.0162377376109361,Stephan El Shaarawy,h,1252.0,OpenPlay,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,,,serie_a
144488.0,26.0,MissedShots,0.931999969482422,0.6329999923706054,0.0195272956043481,Kevin Strootman,h,1256.0,FromCorner,2016-2017,Head,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Leandro Paredes,Cross,serie_a
144489.0,30.0,MissedShots,0.8819999694824219,0.629000015258789,0.0905167013406753,Edin Dzeko,h,1253.0,OpenPlay,2016-2017,LeftFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Kevin Strootman,Pass,serie_a
144490.0,32.0,SavedShot,0.8030000305175782,0.5259999847412109,0.0544042363762855,Stephan El Shaarawy,h,1252.0,OpenPlay,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Edin Dzeko,LayOff,serie_a
144493.0,40.0,MissedShots,0.965999984741211,0.3909999847412109,0.0529167987406253,Radja Nainggolan,h,1251.0,FromCorner,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Mohamed Salah,Cross,serie_a
144494.0,41.0,BlockedShot,0.7619999694824219,0.3759999847412109,0.0226825233548879,Mohamed Salah,h,1250.0,OpenPlay,2016-2017,LeftFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Edin Dzeko,Pass,serie_a
144495.0,41.0,SavedShot,0.906999969482422,0.555,0.0264201089739799,Edin Dzeko,h,1253.0,FromCorner,2016-2017,Head,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Bruno Peres,Aerial,serie_a
144497.0,47.0,MissedShots,0.9640000152587892,0.4329999923706055,0.4693228602409363,Radja Nainggolan,h,1251.0,OpenPlay,2016-2017,LeftFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Mohamed Salah,Cross,serie_a
144498.0,53.0,SavedShot,0.92,0.4429999923706054,0.3399218916893005,Edin Dzeko,h,1253.0,OpenPlay,2016-2017,RightFoot,931.0,Roma,Udinese,4.0,0.0,2016-08-20 20:00:00,Emerson,Cross,serie_a
